Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Energía,HIDROELÉCTRICA MANUEL PIAR- TOCOMA,Paralizada,87.19,0.0,Estado Bolívar,Bolívar,"En el estado Bolívar, a 80 km. aguas arriba de la confluencia del río Caroní con el río Orinoco. Presa Manuel Piar, en Tocoma",Más de 1.000.001,Corporación Eléctrica Nacional (Corpoelec),Hipólito Izquierdo,"Consorcio OIV Tocoma (CBPO Engenharia Ltda./ Constructora Norberto Odebrecht, C.A./Impregilo S.p.A/ Venezolana de Inversiones y Construcciones Clerico, C.A. (Vinccler, C.A.)) / Industrias Metalúrgicas Pescarmona Sociedad Anónima (IMPSA)",8896,S/I,0,2007.0,S/I,1era 01/06/2014 2da 31/03/2018,S/I,8.27392855,-62.73685162925183
Energía,INVERSIÓN EN LA PLANTA INDIA URQUÍA PERTENECIENTE AL COMPLEJO GENERADOR TERMOCENTRO,Paralizada,80.0,0.0,Estado Miranda,Municipio Paz Castillo,"78Q9+RPM, Santa Lucía 1214",Más de 1.000.001,Corporación Eléctrica Nacional (Corpoelec) / Ministerio de Energía Eléctrica,S/I,S/I,2178,Si,571,2009.0,S/I,2013,S/I,10.3177125,-66.65811575840993
Energía,PARQUE EÓLICO DE LA GUAJIRA,Paralizada,33.33,0.0,Estado Zulia,Guajira,"Sector Zulia Mar, parroquia Sinamaica. Municipio Guajira, estado Zulia.",Más de 1.000.001,Corporación Eléctrica Nacional (Corpoelec) / PDVSA Industrial / Ministerio de Energía Eléctrica,S/I,Industrias Metalúrgicas Pescarmona Sociedad Anónima (IMPSA),225,S/I,0,,2013,2013,2014,10.6927795,-71.6349937
Energía,PARQUE EÓLICO PARAGUANÁ,Paralizada,32.0,0.0,Estado Fálcon,Los Taques,"Santa Cruz de Los Taques, en la península de Paraguaná",Más de 1.000.001,Petróleos de Venezuela S.A. (Pdvsa) / Corporación Eléctrica Nacional (Corpoelec),S/I,S/I,180,S/I,0,2009.0,S/I,2011,S/I,11.8245826,-70.2517878
Energía,CONSOLIDACIÓN DE LA RED SAN GERÓNIMO-PUERTO AYACUCHO,Paralizada,8.76,0.0,Estado Guárico,Juan José Rondón/ Leonardo Infante,Municipios Juan José Rondón y Leonardo Infante,Más de 1.000.001,Corporación Eléctrica Nacional (Corpoelec) / Ministerio de Energía Eléctrica,S/I,S/I,35,Si,170,2008.0,S/I,2010,S/I,9.9666667,67.4666667
Energía,SISTEMA HIDRÁULICO YACAMBÚ – QUIBOR,Paralizada,0.0,0.0,Estado Lara,Jiménez,"V8GX+57J, Carr. San José, 3061",Más de 1.000.001,Sistema Hidráulico Yacambú-Quíbor (SHYQ),S/I,"Consorcio Yacambú 2008 /Empresa Noroccidental de Mantenimiento y Obras Hidráulicas, C.A. (Enmohca)/ Indermeca / DellAcqua",879,Si,32,1999.0,S/I,2012,S/I,10.064215149999999,-69.36380919830901
