Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Hidrocarburos,COMPLEJO INDUSTRIAL GRAN MARISCAL DE AYACUCHO (CIGMA),Paralizada,25.0,0.0,Estado Sucre,Valdez,"HMMW+XGR, Güiria 6161",Entre 100.001 y 1.000.000,S/I,S/I,S/I,13000,S/I,0,2007.0,S/I,2009,S/I,10.632361,-62.23098983255319
Hidrocarburos,COMPLEJO PETROQUÍMICO MORÓN,Paralizada,95.39,50.19,Estado Carabobo,Juan José Mora,"GRC2+M39, Troncal3, 2051, Carabobo",Entre 100.001 y 1.000.000,Petroquímica de Venezuela (Pequiven) / Ministerio de Petróleo,S/I,S/I,3276,Si,507,2005.0,S/I,2017,S/I,10.441975750000001,-68.27761252077609
Hidrocarburos,COMPLEJO PETROQUÍMICO PUERTO NUTRIAS,Con recursos desembolsados - no iniciada,0.6,33.14,Estado Barinas,Sosa,Puerto Nutrias,Entre 100.001 y 1.000.000,Petroquímica de Venezuela (Pequiven) / Ministerio de Petróleo,S/I,S/I,1434,Si,31,2007.0,S/I,2018,S/I,8.297021149999999,-69.29029798244329
Hidrocarburos,PLANTA FERTILIZANTES 4,Paralizada,70.8532,0.0,Estado Carabobo,Juan José Mora,"GRC2+M39, Troncal3, 2051, Carabobo",Entre 100.001 y 1.000.000,Petroquímica de Venezuela (Pequiven) / Ministerio de Petróleo,S/I,S/I,0,Si,1555,2005.0,S/I,2017,S/I,10.441975750000001,-68.27761252077609
Hidrocarburos,PLANTA PROCESADORA DE ETANOL,Paralizada,60.0,0.0,Estado Barinas,Rojas,Parroquia Santa Rosa,Más de 1.000.001,Corporación Venezolana Agraria,S/I,S/I,153,S/I,0,,S/I,2012,S/I,8.469959,-69.64633600189475
Hidrocarburos,PROYECTO DE CONVERSIÓN PROFUNDA REFINERÍA PUERTO LA CRUZ,Paralizada con daños en su infraestructura,80.0,0.0,Estado Anzoátegui,Sotillo,"69CH+7R3, Puerto La Cruz 6023, Anzoátegui",Más de 1.000.001,"Petróleos de Venezuela, S.A (Pdvsa)",S/I,Consorcio Venezuela Número UNO (VONE) (Hyundai Engineering & Construction/ Hyundai Engineering/ WISON Engineering) / Consorcio CONFEED (CHIYODA/ JGC Holdings Corporation) INELECTRA,13856,S/I,0,2010.0,2018,2018,S/I,10.16659905,-64.534251083809
Hidrocarburos,"PROYECTO GAS ANACO FASE II. CONSTRUCCIÓN DE 5 CENTROS OPERATIVOS DE GAS ANACO (SAN JOAQUÍN, SANTA ROSA, ZAPATO MATA R, SANTA ANA Y AGUASAY)",Paralizada,54.0,0.0,Estado Anzoátegui,Anaco,S/I,Más de 1.000.001,S/I,S/I,"Constructora Norberto Odebrecht, C. A.",2741,S/I,0,2004.0,S/I,2016,S/I,9.432191,-64.466834
Hidrocarburos,TERMINAL MARÍTIMA DE MORÓN,Paralizada,13.82,0.0,Estado Carabobo,Juan José Mora,"GRC2+M39, Troncal3, 2051, Carabobo",Entre 100.001 y 1.000.000,Petroquímica de Venezuela (Pequiven) / Ministerio de Petróleo,S/I,S/I,76382,Si,72,2013.0,S/I,2018,S/I,10.441975750000001,-68.27761252077609
