Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Productivo,EMPRESA SOCIALISTA DE RIEGO PLANICIE DE MARACAIBO,Paralizada,50.0,0.0,Estado Zulia,Jesús Enrique Lossada,"Sector El Diluvio, parroquia José Ramón Yépez.",Entre 100.001 y 1.000.000,Instituto Nacional de Desarrollo Rural (INDER) / Ministerio de Agricultura,S/I,"Constructora Norberto Odebrecht, C.A.",142,Si,58,2003.0,S/I,2015,S/I,10.59071,-72.07572498582432
Productivo,PLANTA PROCESADORA DE SISAL,Paralizada,10.0,0.0,Estado Lara,Urdaneta,San Miguel,Entre 5.001 y 100.000,Alcaldía del municipio Urdaneta / Gobernación del estado Lara,S/I,Venchisa,2,Si,76,1999.0,2002,S/I,S/I,10.56938905,-69.58503738441567
Productivo,PROYECTO AGRARIO INTEGRAL JOSÉ INACIO DE ABREU E LIMA,Paralizada,43.51,0.0,Estado Anzoátegui,Aragua,"Carretera Nacional El Tigre-Pariaguan ramal 41, Sector Cerro El Policía, Parroquia Cachipo.",Más de 1.000.001,Instituto Nacional de Desarrollo Rural (INDER),Elías Jaua,"Constructora Norberto Odebrecht, C. A.",2039,Si,568,,S/I,2da fase 31-12-2018,S/I,9.32507515,-64.86481439403661
Productivo,PROYECTO AGRARIO SOCIALISTA DE DESARROLLO INTEGRAL VALLE DE QUÍBOR,Paralizada,60.0,0.0,Estado Lara,Jiménez,Quibor,Entre 100.001 y 1.000.000,S/I,S/I,Grupo Queiroz Galvão S.A.,269,Si,511,2009.0,S/I,2016,S/I,10.064215149999999,-69.36380919830901
Productivo,PUERTO DE AGUAS PROFUNDAS PUERTO CABELLO FASE I,Paralizada,28.0,0.0,Estado Carabobo,Puerto Cabello,Sector La Salina,Entre 5.001 y 100.000,Ministerio de Transporte Terrestre,Hebert García Plaza,China Harbour Engineering Company ltd (CHEC).,1100,Si,25,2014.0,S/I,2017,S/I,10.4677932,-68.0436682
Productivo,ZONA INDUSTRIAL DE CARORA,Paralizada,55.0,55.0,Estado Lara,Torres,Carora,Entre 5.001 y 100.000,Compañía Anónima para el Desarrollo Industrial de Torres (COMDITORRES),S/I,"Constructora 421, C.A.",0,S/I,0,2003.0,S/I,S/I,S/I,10.1894345,-69.8931168
