Sector,Obra,Status,Ejecución física %,Ejecución financiera %,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra USD (millones),Obra financiada por FONDEN,Monto comprometido USD (millones),Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización,Latitud,Longitud
Saneamiento ambiental,CONEXIÓN COLECTOR AGUAS SERVIDAS A RED PRINCIPAL,Operativa sin concluir las obras,70.0,0.0,Estado Lara,Iribarren,"Barrio Rómulo Gallegos, parroquía El Cují",Entre 5.001 y 100.000,Hidrolara / Gobernación del estado Lara,Henri Falcón,S/I,1.22,S/I,0,2015.0,2015,2018,2017,10.1232167,-69.40874859322726
Saneamiento ambiental,CONSTRUCCIÓN PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EL TANQUE,Paralizada,33.0,0.0,Estado Lara,Palavecino,"Las cercanías del caserío El Taque, Palavecino, carretera vieja a Yaritagua",Más de 1.000.001,Empresa Noroccidental de Mantenimiento y Obras Hidráulicas C.A. (Enmhoca),Jorge González,S/I,63.48,S/I,0,,S/I,S/I,2009,9.98749135,-69.23350867159661
Saneamiento ambiental,"PROYECTO DE SANEAMIENTO DEL RÍO GUAIRE, FASES II Y III",Paralizada,41.7,0.0,Distrito Capital,Libertador,Río Guaire,Más de 1.000.001,Ministerio de Atención de las Aguas,S/I,S/I,2500.0,Si,103,2005.0,2007,2016,S/I,10.5010211,-66.9602804
Saneamiento ambiental,RELLENO SANITARIO CAÑAVERAL,Paralizada,45.0,0.0,Estado Bolívar,Caroní,"7439+X93, 8050",Entre 0-5.000,Ministerio de Ecosocialismo / Secretaría de Ambiente de la Gobernación de Bolívar,S/I,"Pavimentos Delta, C.A. (Pavidelca)",405.08,S/I,0,2014.0,Julio 2016,Noviembre 2016,S/I,8.3608146,-62.6347373
Saneamiento ambiental,"PROYECTO DE SANEAMIENTO DEL RÍO GUAIRE, FASES II Y III",Paralizada,41.7,0.0,Distrito Capital,Libertador,Río Guaire,Más de 1.000.001,Ministerio de Atención de las Aguas,S/I,S/I,2500.0,Si,103,2005.0,2007,2016,S/I,10.5010211,-66.9602804
